de	zh	fr	hi	it	ja	pt	ru	es
nähe - proximity, nearness	接近度——接近度，接近度	proximité - proximité, proximité	सामीप्य - सामीप्य, सामीप्य	prossimità - prossimità, prossimità	近接 - 近接、近接	proximidade - proximidade, proximidade	близость - близость, близость	proximidad - proximidad, proximidad
genutzt - used	二手的-二手的	utilisé - utilisé	प्रयुक्त - प्रयुक्त	usato - usato	中古 - 中古	usado - usado	б/у - б/у	usado - usado
gleichnamigen - of the same name	同名	du même nom	एक ही नाम का	dello stesso nome	同じ名前の	do mesmo nome	с тем же именем	del mismo nombre
begriff - term, concept	术语-术语、概念	terme - terme, concept	पद - पद, अवधारणा	termine - termine, concetto	用語 - 用語、概念	termo - termo, conceito	термин - термин, понятие	término - término, concepto
vorlage - template, draft	模板 - 模板、草稿	modèle - modèle, brouillon	टेम्प्लेट - टेम्प्लेट, ड्राफ्ट	modello - modello, bozza	テンプレート - テンプレート、ドラフト	modelo - modelo, rascunho	шаблон – шаблон, черновик	plantilla - plantilla, borrador
bezeichnung - designation, term	名称 - 名称、术语	désignation - désignation, terme	पदनाम - पदनाम, पद	designazione - designazione, termine	指定 - 指定、用語	designação - designação, termo	обозначение - обозначение, термин	designación - designación, término
verwendeten - used	二手的-二手的	utilisé - utilisé	प्रयुक्त - प्रयुक्त	usato - usato	中古 - 中古	usado - usado	б/у - б/у	usado - usado
ähnlich - similar	类似 - 类似	similaire - similaire	समान - समान	simile - simile	似たような - 似たような	semelhante - semelhante	похожий - похожий	similar - similar
gewisse - certain	确定-确定	certain - certain	निश्चित - निश्चित	certo - certo	確かな - 確かな	certo - certo	уверен - уверен	cierto - cierto
gegensatz - contrast, opposite	相反——对比，相反	opposé - contraste, opposé	विपरीत - विपरीत, विपरीत	opposto - contrasto, opposto	反対 - コントラスト、反対	oposto - contraste, oposto	противоположный – контраст, противоположный	opuesto - contraste, opuesto
erlaubt - allowed, permitted	允许——允许，允许	autorisé - autorisé, autorisé	अनुमति - अनुमति, अनुमति	consentito - consentito, consentito	許可 - 許可、許可	permitido - permitido, permitido	разрешено - разрешено, разрешено	permitido - permitido, permitido
gebäude - building	建筑-建筑	bâtiment - bâtiment	भवन - निर्माण	edificio - edificio	建物 - 建物	edifício - edifício	здание - здание	edificio - edificio
werken - works	作品 - 作品	travaux - travaux	काम करता है - काम करता है	funziona - funziona	作品 - 作品	funciona - funciona	работает - работает	funciona - funciona
besondern - special	特别 - 特别	spécial - spécial	विशेष - विशेष	speciale - speciale	特別 - 特別	especial - especial	особенный - особенный	especial - especial
gegebenenfalls - if necessary	如果需要的话 - 如果需要的话	si nécessaire - si nécessaire	यदि आवश्यक हो - यदि आवश्यक हो	se necessario - se necessario	必要に応じて - 必要に応じて	se necessário - se necessário	если необходимо - если необходимо	si es necesario - si es necesario
umgekehrt - vice versa, reversed	反之亦然 - 反之亦然，相反	vice versa - vice versa, inversé	इसके विपरीत - इसके विपरीत, उलटा	viceversa - viceversa, invertito	逆の場合 - 逆の場合、逆の場合	vice-versa - vice-versa, invertido	наоборот - наоборот, наоборот	viceversa - viceversa, invertido
begonnen - begun	开始-开始	commencé - commencé	शुरू - शुरू	iniziato - iniziato	始まりました - 始まりました	começou - começou	начал - начал	comenzó - comenzó
ebenso - likewise	同样地——同样地	de même - de même	इसी तरह - इसी तरह	allo stesso modo - allo stesso modo	同様に - 同様に	da mesma forma - da mesma forma	аналогично - аналогично	igualmente - igualmente
verlauf - course, progression	课程、进展	cours, progression	पाठ्यक्रम, प्रगति	corso, progressione	もちろん、進行	curso, progressão	курс, прогресс	curso, progresión
südlich - southern	南南	sud - sud	दक्षिण - दक्षिणी	sud - sud	南 - 南	sul - sul	юг - южный	sur - sur
festgestellt - determined, established	已决定——已决定、已确定	déterminé - déterminé, établi	निर्धारित - निर्धारित, स्थापित	determinato - determinato, stabilito	決定された - 決定された、確立された	determinado - determinado, estabelecido	определённый – определённый, установленный	determinado - determinado, establecido
eigentlich - actually	实际上 - 实际上	en fait - en fait	वास्तव में - वास्तव में	in realtà - in realtà	実は - 実は	na verdade - na verdade	на самом деле - на самом деле	en realidad - en realidad
besitz - possession, property	占有——占有，财产	possession - possession, propriété	कब्ज़ा - कब्ज़ा, संपत्ति	possesso - possesso, proprietà	所有 - 所有物、所有物	posse - posse, propriedade	владение – владение, собственность	posesión - posesión, propiedad
genannten - mentioned, named	提到 - 提到，命名	mentionné - mentionné, nommé	उल्लेखित - उल्लेखित, नामित	menzionato - menzionato, nominato	言及された - 言及された、名前が付けられた	mencionado - mencionado, nomeado	упомянутый - упомянутый, названный	mencionado - mencionado, nombrado
befinden - to be located	位于	être situé	स्थित होना	essere localizzato	位置が特定される	estar localizado	быть расположенным	estar ubicado
bestimmen - to determine	确定 - 确定	déterminer - déterminer	निर्धारित करना - निर्धारित करना	determinare - determinare	決定する - 決定する	determinar - determinar	определить - определить	determinar - determinar
entstehung - emergence, origin	出现 - 出现、起源	émergence - émergence, origine	उद्भव - उद्भव, उत्पत्ति	emergenza - emergenza, origine	出現 - 出現、起源	emergência - emergência, origem	возникновение - возникновение, происхождение	aparición - aparición, origen
führend - leading	领先-领先	leader - leader	अग्रणी - अग्रणी	leader - leader	先頭 - 先頭	liderando - liderando	ведущий - ведущий	liderando - liderando
geltend - valid, applicable	valid - 有效，适用	valide - valide, applicable	वैध - मान्य, लागू	valido - valido, applicabile	有効 - 有効、該当する	válido - válido, aplicável	действительный – действительный, применимый	válido - válido, aplicable
getragen - worn, carried	磨损 - 磨损，携带	porté - porté, porté	घिसा हुआ - घिसा हुआ, ढोया हुआ	indossato - indossato, portato	着用 - 着用、持ち運び	desgastado - desgastado, carregado	носить - носить, носить	desgastado - desgastado, llevado
vorwiegend - predominantly	主要 - 主要	principalement - principalement	मुख्य रूप से - मुख्य रूप से	prevalentemente - prevalentemente	主に - 主に	predominantemente - predominantemente	преимущественно - преимущественно	predominantemente - predominantemente
drittel - third	第三 - 第三	troisième - troisième	तीसरा - तीसरा	terzo - terzo	3番目 - 3番目	terceiro - terceiro	третий - третий	tercero - tercero
mitglieder - members	会员 - 会员	membres - membres	सदस्य - सदस्य	membri - membri	メンバー - メンバー	membros - membros	члены - члены	miembros - miembros
wissen - to know, knowledge	知道——知道、知识	savoir - savoir, connaissance	जानना - जानना, ज्ञान	sapere - sapere, conoscenza	知ること - 知ること、知識	saber - saber, conhecimento	знать - знать, знание	saber - saber, conocimiento
einführung - introduction	简介 - 简介	introduction - introduction	परिचय - परिचय	introduzione - introduzione	はじめに - はじめに	introdução - introdução	введение - введение	introducción - introducción
befand - was located	位于 - 位于	localisé - était localisé	स्थित - स्थित था	localizzato - era localizzato	見つかった - 見つかった	localizado - foi localizado	находился - находился	ubicado - estaba ubicado
vertreten - represented	代表 - 代表	représenté - représenté	प्रतिनिधित्व किया - प्रतिनिधित्व किया	rappresentato - rappresentato	表現される - 表現される	representado - representado	представленный - представленный	representado - representado
entsprechenden - corresponding (dative/accusative)	相应 - 相应（与格/宾格）	correspondant - correspondant (datif/accusatif)	संगत - संगत (संप्रदान कारक/अभियोगात्मक)	corrispondente - corrispondente (dativo/accusativo)	対応する - 対応する (与格/対格)	correspondente - correspondente (dativo/acusativo)	соответствующий - соответствующий (дательный/винительный падеж)	correspondiente - correspondiente (dativo/acusativo)
stammt - comes from, originates	来自，起源	vient de, provient	से आता है, उत्पन्न होता है	viene da, ha origine	から来る、由来する	vem de, origina	происходит от, берет свое начало	viene de, se origina
sieben - seven	七七	sept - sept	सात - सात	sette - sette	7 - 7	sete - sete	семь - семь	siete - siete
erhaltene - preserved	保留 - 保留	préservé - préservé	संरक्षित - संरक्षित	conservato - conservato	保存された - 保存された	preservado - preservado	сохраненный - сохраненный	conservado - conservado
ausgestattet - equipped	装备齐全	équipé - équipé	सुसज्जित - सुसज्जित	attrezzato - attrezzato	装備されています - 装備されています	equipado - equipado	оборудованный - оборудованный	equipado - equipado
zahlreicher - numerous (genitive)	众多 - 众多（所有格）	nombreux - nombreux (génitif)	असंख्य - असंख्य (जननात्मक)	numerosi - numerosi (genitivo)	多数 - 多数 (属格)	numerosos - numerosos (genitivo)	многочисленный - многочисленный (родительный падеж)	numerosos - numerosos (genitivo)
ermöglichte - enabled	已启用-已启用	activé - activé	सक्षम - सक्षम	abilitato - abilitato	有効 - 有効	habilitado - habilitado	включено - включено	habilitado - habilitado
zusammenarbeit - cooperation, collaboration	合作——合作、协作	coopération - coopération, collaboration	सहयोग - सहयोग, सहयोग	cooperazione - cooperazione, collaborazione	協力 - 協力、協力	cooperação - cooperação, colaboração	сотрудничество - сотрудничество, сотрудничество	cooperación - cooperación, colaboración
vorgänger - predecessor	前任 - 前任	prédécesseur - prédécesseur	पूर्ववर्ती - पूर्ववर्ती	predecessore - predecessore	前任者 - 前任者	antecessor - antecessor	предшественник - предшественник	predecesor - predecesor
bezieht - refers to	指 - 指	fait référence - fait référence à	संदर्भित - संदर्भित करता है	si riferisce - si riferisce a	参照します - 参照します	refere-se - refere-se a	относится - относится к	se refiere - se refiere a
fällt - falls	跌倒 - 如果	tombe - si	गिरता है - अगर	cade - se	落ちる - もし	cai - se	падает - если	cae - si
gewesen - been	曾经 - 曾经	été - été	रहा - रहा	stato - stato	いた - いた	esteve - esteve	был - был	estado - estado
bestimmung - determination, regulation	决心 - 决心，规定	détermination - détermination, régulation	निश्चय - निश्चय, नियमन	determinazione - determinazione, regolamentazione	決定 - 決定、規制	determinação - determinação, regulamento	решимость - решимость, регулирование	determinación - determinación, regulación
vermutlich - presumably	大概 - 大概	vraisemblablement - vraisemblablement	संभवतः - संभवतः	presumibilmente - presumibilmente	おそらく - おそらく	presumivelmente - presumivelmente	предположительно - предположительно	presumiblemente - presumiblemente
ähnliche - similar	类似 - 类似	similaire - similaire	समान - समान	simile - simile	似たような - 似たような	semelhante - semelhante	похожий - похожий	similar - similar
gehörten - belonged	所属——所属	appartenait - appartenait	संबंधित - संबंधित	apparteneva - apparteneva	所属 - 所属	pertencia - pertencia	принадлежал - принадлежал	pertenecía - pertenecía
lediglich - merely, only	仅仅——仅仅、仅仅	simplement - simplement, seulement	मात्र - मात्र, केवल	semplicemente - semplicemente, unicamente	ただ - ただ、ただ、だけ	meramente - meramente, apenas	просто - просто, только	simplemente - simplemente, sólo
vereinigung - union, association	协会 - 联盟、协会	association - syndicat, association	संघ - संघ, संघ	associazione - unione, associazione	協会 - 組合、協会	associação - sindicato, associação	ассоциация - союз, объединение	asociación - unión, asociación
aufnahme - recording, admission	录音——录音、入场	enregistrement - enregistrement, admission	रिकॉर्डिंग - रिकॉर्डिंग, प्रवेश	registrazione - registrazione, ammissione	録音 - 録音、入場	gravação - gravação, admissão	запись — запись, допуск	grabación - grabación, admisión
weiterer - further (genitive)	进一步 - 进一步（所有格）	plus loin - plus loin (génitif)	आगे - आगे (जननात्मक)	ulteriormente - ulteriormente (genitivo)	さらに - さらに（属格）	mais - mais (genitivo)	дальше - дальше (родительный падеж)	más lejos - más lejos (genitivo)
gelegentlich - occasionally	偶尔 - 偶尔	de temps en temps - de temps en temps	कभी-कभी - कभी-कभी	occasionalmente - occasionalmente	時々 - 時々	ocasionalmente - ocasionalmente	изредка - изредка	ocasionalmente - ocasionalmente
unterscheiden - to distinguish	区分——区分	distinguer - distinguer	भेद करना - भेद करना	distinguere - distinguere	区別する - 区別する	distinguir - distinguir	различать - различать	distinguir - distinguir
umfang - extent, scope	范围——范围、范围	portée - étendue, portée	दायरा - विस्तार, दायरा	ambito: estensione, ambito	スコープ - 範囲、範囲	escopo - extensão, escopo	область действия - степень, область применения	alcance - extensión, alcance
erhöht - increased, raised	增加——增加，提高	augmenté - augmenté, augmenté	बढ़ा हुआ - बढ़ा हुआ, बढ़ा हुआ	aumentato - aumentato, sollevato	増加した - 増加した、上昇した	aumentado - aumentado, aumentado	увеличился - увеличился, повысился	aumentado - aumentado, elevado
geeignet - suitable	适合——适合	approprié - approprié	उपयुक्त - उपयुक्त	adatto - adatto	適切 - 適切	adequado - adequado	подходящий - подходящий	adecuado - adecuado
versuch - attempt, experiment	temp——尝试、实验	temp - tentative, expérience	अस्थायी - प्रयास, प्रयोग	temp: tentativo, esperimento	温度 - 試み、実験	temp - tentativa, experimento	temp - попытка, эксперимент	temp - intento, experimento
besteht - consists, exists	包含 - 包含、存在	consiste - consiste, existe	शामिल है - शामिल है, मौजूद है	consiste - consiste, esiste	構成される - 構成される、存在する	consiste - consiste, existe	состоит - состоит, существует	consiste - consiste, existe
begründet - founded, justified	成立 - 成立的，合理的	fondé - fondé, justifié	स्थापित - स्थापित, उचित	fondato - fondato, giustificato	設立された - 設立された、正当化された	fundado - fundado, justificado	основанный – обоснованный, оправданный	fundado - fundado, justificado
österreichischen - Austrian	奥地利 - 奥地利	Autrichien - Autrichien	ऑस्ट्रियाई - ऑस्ट्रियाई	Austriaco - austriaco	オーストリア料理 - オーストリア料理	Austríaco - Austríaco	Австрийский - австрийский	Austriaco - Austriaco
stammen - to originate, to stem from	to originate - 起源，源于	provenir - provenir, provenir de	उत्पन्न होना - उत्पन्न होना, उत्पन्न होना	originare, provenire da	由来する、由来する	originar-se, originar-se de	зародиться — зародиться, проистекать из	originar - originar, surgir de
trägt - carries, wears	携带——携带、穿着	porte - porte, porte	ढोता है - ढोता है, पहनता है	porta - porta, indossa	運ぶ - 運ぶ、着る	carrega - carrega, usa	носит - носит, носит	lleva - lleva, viste
erhöhte - increased	增加 - 增加	augmenté - augmenté	बढ़ा हुआ - बढ़ा हुआ	aumentato - aumentato	増加しました - 増加しました	aumentado - aumentado	увеличился - увеличился	aumentado - aumentado
gesehen - seen	所见所见	vu - vu	देखा-देखा	visto - visto	見た - 見た	visto - visto	видел - видел	visto - visto
einrichtung - institution, facility	设施 - 机构、设施	établissement - institution, établissement	सुविधा - संस्था, सुविधा	struttura - istituzione, struttura	施設 - 施設、施設	instalação - instituição, instalação	средство - учреждение, объект	instalación - institución, instalación
häufigsten - most frequent	最频繁 - 最频繁	le plus fréquent - le plus fréquent	सबसे अधिक बार - सबसे अधिक बार	più frequente - più frequente	最も頻繁 - 最も頻繁	mais frequente - mais frequente	наиболее частый - наиболее частый	más frecuente - más frecuente
stellte - put, posed	放置 - 放置，摆好姿势	mettre - mettre, posé	पुट - पुट, पोज़्ड	mettere - mettere, posto	置く、置く、ポーズをとる	colocar - colocar, posar	ставить - ставить, ставить	poner - poner, posar
verbindungen - connections	连接 - 连接	connexions - connexions	कनेक्शन - कनेक्शन	connessioni - connessioni	接続 - 接続	conexões - conexões	связи - связи	conexiones - conexiones
höhe - height, amount	height - 高度、数量	hauteur - hauteur, montant	ऊँचाई - ऊँचाई, मात्रा	altezza - altezza, importo	高さ - 高さ、量	altura - altura, quantidade	height - высота, количество	altura - altura, cantidad
östlich - eastern	东东	est - est	पूर्व - पूर्वी	est - orientale	東 - 東	leste - leste	восток - восточный	este - este
gebrauch - use	使用-使用	utiliser - utiliser	उपयोग - उपयोग	usare - usare	使う - 使う	usar - usar	использовать - использовать	usar - usar
erscheinen - to appear	出现-出现	apparaître - apparaître	प्रकट होना - प्रकट होना	apparire - apparire	現れる - 現れる	aparecer - aparecer	появиться - появиться	aparecer - aparecer
spätestens - at the latest	最晚 - 最晚	au plus tard - au plus tard	नवीनतम - नवीनतम पर	al più tardi - al più tardi	最新 - 遅くとも	mais recente - o mais tardar	самое позднее - самое позднее	más tarde - a más tardar
vorgesehen - provided, intended	提供 - 提供的、预期的	fourni - fourni, destiné	प्रदान किया गया - प्रदान किया गया, इरादा	fornito - fornito, previsto	提供された - 提供された、意図された	fornecido - fornecido, pretendido	предусмотренный – предусмотренный, предназначенный	proporcionado - proporcionado, previsto
gewählt - chosen, elected	当选——选出，当选	élu - choisi, élu	निर्वाचित - चुना हुआ, निर्वाचित	eletto - scelto, eletto	選ばれた - 選ばれた、選ばれた	eleito - escolhido, eleito	избранный – избранный, избранный	elegido - elegido, elegido
erfolgreiche - successful	成功——成功	réussi - réussi	सफल - सफल	successo - successo	成功しました - 成功しました	bem sucedido - bem sucedido	успешный - успешный	exitoso - exitoso
vorliegenden - present, available	现在 - 现在，可用	présent - présent, disponible	वर्तमान - वर्तमान, उपलब्ध	presente - presente, disponibile	現在 - 現在、利用可能	presente - presente, disponível	присутствует – присутствует, доступен	presente - presente, disponible
bestimmtes - certain (neuter)	某些 - 某些（中性）	certain - certain (neutre)	निश्चित - निश्चित (नपुंसक)	certo - certo (neutro)	確か - 確かな（中性）	certo - certo (neutro)	определенный - определенный (средний род)	cierto - cierto (neutro)
nachfolge - succession	演替	succession	उत्तराधिकार	successione	継承	sucessão	преемственность	sucesión
verbreitung - distribution, spread	分布 - 分布、传播	distribution - distribution, propagation	वितरण - वितरण, प्रसार	distribuzione - distribuzione, diffusione	配布 - 配布、拡散	distribuição - distribuição, propagação	распространение - распространение, распространение	distribución - distribución, propagación
gehören - to belong	属于 - 属于	appartenir - appartenir	संबंधित - संबंधित होना	appartenere - appartenere	所属する - 所属する	pertencer - pertencer	принадлежать - принадлежать	pertenecer - pertenecer
bekannter - better known	更为人所知	mieux connu	बेहतर ज्ञात	meglio conosciuto	よく知られている	mais conhecido	более известный	mejor conocido
rechte - right, rights	权利——权利，权利	droits - droit, droits	अधिकार - अधिकार, अधिकार	diritti - giusto, diritti	権利 - 権利、権利	direitos - certo, direitos	права - права, права	derechos - derecho, derechos
nennt - names, calls	呼叫 - 姓名、呼叫	appels - noms, appels	कॉल - नाम, कॉल	chiamate: nomi, chiamate	呼び出し - 名前、呼び出し	chamadas - nomes, chamadas	звонки - имена, звонки	llamadas - nombres, llamadas
weitgehend - largely, to a large extent	很大程度上 - 很大程度上，在很大程度上	en grande partie - en grande partie, dans une large mesure	बड़े पैमाने पर - बड़े पैमाने पर, बड़े पैमाने पर	in gran parte - in gran parte, in larga misura	大体 - 大体、かなりの範囲で	em grande parte - em grande parte, em grande parte	в значительной степени — в значительной степени, в значительной степени	en gran medida - en gran medida, en gran medida
gestellt - put, posed	放置 - 放置，摆好姿势	mettre - mettre, posé	पुट - पुट, पोज़्ड	mettere - mettere, posto	置く、置く、ポーズをとる	colocar - colocar, posar	ставить - ставить, ставить	poner - poner, posar
insbesondere - particularly	特别地——特别地	particulièrement - particulièrement	विशेष रूप से - विशेष रूप से	particolarmente - particolarmente	特に - 特に	particularmente - particularmente	особенно - особенно	particularmente - particularmente
verhältnis - relationship	关系-关系	relation - relation	रिश्ता - रिश्ता	relazione - relazione	関係 - 関係	relacionamento - relacionamento	отношения - отношения	relación - relación
meisten - most	最 - 最	le plus - le plus	सर्वाधिक - सर्वाधिक	la maggior parte - la maggior parte	ほとんど - ほとんど	mais - mais	большинство - большинство	la mayoría - la mayoría
gewidmet - dedicated	专心致志	dédié - dédié	समर्पित - समर्पित	dedicato - dedicato	専用 - 専用	dedicado - dedicado	посвященный - преданный	dedicado - dedicado
zweite - second	第二次第二次	seconde - seconde	दूसरा - दूसरा	secondo - secondo	2番目 - 2番目	segundo - segundo	второй - второй	segundo - segundo
getroffen - met, made	遇见——遇见，做了	rencontré - rencontré, fait	मिले - मिले, बने	incontrato - incontrato, fatto	出会った - 出会った、できた	conheci - conheci, fiz	встретились - встретились, сделали	conoció - conoció, hizo
behandlung - treatment	治疗-治疗	traitement - traitement	उपचार - उपचार	trattamento - trattamento	治療 - 治療	tratamento - tratamento	лечение - лечение	tratamiento - tratamiento
sonstige - other, miscellaneous	其他 - 其他，杂项	autre - autre, divers	अन्य - अन्य, विविध	altro - altro, vario	その他 - その他、その他	outro - outro, diverso	прочее – прочее, разное	otro - otro, varios
betrieb - operation, company	betrieb - 运营、公司	betrieb - opération, entreprise	बेट्रीब - संचालन, कंपनी	betrieb: operazione, compagnia	betrieb - 運営、会社	betrieb - operação, empresa	betrieb - операция, компания	betrieb - operación, empresa
vorsicht - caution	小心谨慎	prudence - prudence	सावधानी - सावधानी	cautela - cautela	注意 - 注意	cautela - cautela	осторожность - осторожность	precaución - precaución
öffentlicher - public (genitive)	公共 - 公共（所有格）	public - public (génitif)	सार्वजनिक - सार्वजनिक (जननात्मक)	pubblico - pubblico (genitivo)	public - public (属格)	público - público (genitivo)	публичный - публичный (родительный падеж)	público - público (genitivo)
erwähnt - mentioned	提到-提到	mentionné - mentionné	उल्लेखित - उल्लेखित	menzionato - menzionato	言及した - 言及した	mencionado - mencionado	упомянутый - упомянутый	mencionado - mencionado
bekannten - known (dative/accusative)	已知 - 已知（与格/宾格）	connu - connu (datif/accusatif)	ज्ञात - ज्ञात (संप्रदान कारक/अभियोगात्मक)	noto - noto (dativo/accusativo)	既知 - 既知 (与格/対格)	conhecido - conhecido (dativo/acusativo)	известный - известный (дательный/винительный падеж)	conocido - conocido (dativo/acusativo)
versucht - attempted	尝试过-尝试过	tenté - tenté	प्रयास किया - प्रयास किया	tentato - tentato	試みられた - 試みられた	tentado - tentado	попыталась - попыталась	intentado - intentado
mittlerweile - meanwhile	同时——同时	pendant ce temps - pendant ce temps	इस बीच - इस बीच	nel frattempo - nel frattempo	その間 - その間	enquanto isso - enquanto isso	тем временем - тем временем	mientras tanto - mientras tanto
erwähnte - mentioned	提到-提到	mentionné - mentionné	उल्लेखित - उल्लेखित	menzionato - menzionato	言及した - 言及した	mencionado - mencionado	упомянутый - упомянутый	mencionado - mencionado
verfügt - has at disposal, decrees	有可支配的、法令	a à sa disposition, des décrets	निपटान में है, आदेश	ha a disposizione, decreti	自由に使える、法令がある	tem à disposição, decretos	имеет в распоряжении указы	tiene a su disposición, decretos
gesamt - total, entire	总计 - 总共，全部	total - total, entier	कुल - कुल, संपूर्ण	totale - totale, intero	合計 - 合計、全体	total - total, inteiro	итого - всего, весь	total - total, entero
bildern - pictures (dative)	图片 - 图片（与格）	images - images (datif)	चित्र - चित्र (गोताखोर)	immagini - immagini (dativo)	写真 - 写真 (与格)	fotos - fotos (dativo)	картинки - картинки (дательный падеж)	imágenes - imágenes (dativo)
zweiten - second (dative/accusative)	第二 - 第二（与格/宾格）	seconde - seconde (datif/accusatif)	दूसरा - दूसरा (संप्रदान कारक/अभियोगात्मक)	secondo - secondo (dativo/accusativo)	Second - Second (与格/対格)	segundo - segundo (dativo/acusativo)	второй - второй (дательный/винительный падеж)	segundo - segundo (dativo/acusativo)
veränderten - changed (dative/accusative)	改变 - 改变（与格/宾格）	changé - changé (datif/accusatif)	परिवर्तित - परिवर्तित (संप्रदान कारक/अभियोगात्मक)	cambiato - cambiato (dativo/accusativo)	変更されました - 変更されました (与格/対格)	alterado - alterado (dativo/acusativo)	изменился - изменился (дательный/винительный падеж)	cambiado - cambiado (dativo/acusativo)
umfasste - comprised	包含 - 包含	compris - inclus	सम्मिलित - सम्मिलित	compreso - incluso	含まれる - 含まれる	compreendido - incluído	включенный - включенный	comprendido - incluido
angegeben - specified, stated	指定的 - 指定的，规定的	spécifié - spécifié, déclaré	निर्दिष्ट - निर्दिष्ट, कहा गया	specificato - specificato, dichiarato	指定された - 指定された、記載された	especificado - especificado, declarado	указанный – указанный, заявленный	especificado - especificado, declarado
entsprechen - to correspond	对应 - 对应	correspondre - correspondre	पत्र-व्यवहार करना - पत्र-व्यवहार करना	corrispondere - corrispondere	対応する - 対応する	corresponder - corresponder	соответствовать - соответствовать	corresponder - corresponder
acht - eight	八 - 八	huit - huit	आठ-आठ	otto - otto	8 - 8	oito - oito	восемь - восемь	ocho - ocho
erhaltenen - preserved (dative/accusative)	保留 - 保留（与格/宾格）	préservé - préservé (datif/accusatif)	संरक्षित - संरक्षित (संप्रदान कारक/अभियोगात्मक)	conservato - conservato (dativo/accusativo)	保存された - 保存された (与格/対格)	preservado - preservado (dativo/acusativo)	сохраненный - сохранившийся (дательный/винительный падеж)	preservado - preservado (dativo/acusativo)
gleichnamige - of the same name	同名	du même nom	एक ही नाम का	dello stesso nome	同じ名前の	do mesmo nome	с тем же именем	del mismo nombre
ursprünglichen - original (dative/accusative)	原始 - 原始（与格/宾格）	original - original (datif/accusatif)	मूल - मूल (संप्रदान कारक/अभियोगात्मक)	originale - originale (dativo/accusativo)	オリジナル - オリジナル (与格/対格)	original - original (dativo/acusativo)	original - оригинальный (дательный/винительный падеж)	original - original (dativo/acusativo)
aufgestellt - set up, established	设立——设立，设立	établi - mis en place, établi	स्थापित - स्थापित, स्थापित	stabilito - istituito, stabilito	確立 - セットアップ、確立	estabelecido - estabelecido, estabelecido	установил — установил, установил	establecido - establecido, establecido
erscheint - appears	出现 - 出现	apparaît - apparaît	प्रकट होता है - प्रकट होता है	appare - appare	表示されます - 表示されます	aparece - aparece	появляется - появляется	aparece - aparece
enthaltenen - contained (dative/accusative)	包含 - 包含（与格/宾格）	contenu - contenu (datif/accusatif)	निहित - निहित (संप्रदान कारक/अभियोगात्मक)	contenuto - contenuto (dativo/accusativo)	含まれる - 含まれる (与格/対格)	contido - contido (dativo/acusativo)	содержащийся - содержащийся (дательный/винительный падеж)	contenido - contenido (dativo/acusativo)
gelingen - to succeed	成功 - 成功	réussir - réussir	सफल होना - सफल होना	avere successo - avere successo	成功する - 成功する	ter sucesso - ter sucesso	добиться успеха - преуспеть	tener éxito - tener éxito
neun - nine	九 - 九	neuf - neuf	नौ - नौ	nove - nove	9 - 9	nove - nove	девять - девять	nueve - nueve
entfernt - removed, distant	移除——移除，远离	supprimé - supprimé, distant	हटा दिया गया - हटा दिया गया, दूर कर दिया गया	rimosso - rimosso, distante	削除された - 削除された、遠く離れた	removido - removido, distante	удаленный – удаленный, далекий	eliminado - eliminado, distante
erlangen - to obtain, to achieve	获得——获得，实现	obtenir - obtenir, réaliser	प्राप्त करना - प्राप्त करना, प्राप्त करना	ottenere - ottenere, raggiungere	取得する - 取得する、達成する	obter - obter, alcançar	получить – получить, добиться	obtener - obtener, lograr
durchschnittlich - on average	平均 - 平均	moyenne - en moyenne	औसत - औसत पर	media - in media	平均 - 平均して	média - em média	средний - в среднем	promedio - en promedio
verbunden - connected	已连接-已连接	connecté - connecté	जुड़ा हुआ - जुड़ा हुआ	connesso - connesso	接続されました - 接続されました	conectado - conectado	подключен - подключен	conectado - conectado
betrachtet - considered, viewed	考虑过——考虑过、看过	considéré - considéré, vu	माना - माना, देखा	considerato - considerato, visto	検討 - 検討、検討	considerado - considerado, visto	рассмотрено – рассмотрено, просмотрено	considerado - considerado, visto
italienischen - Italian	意大利语 - 意大利语	Italien - Italien	इटालियन - इटालियन	Italiano - italiano	イタリア語 - イタリア語	Italiano - Italiano	Итальянский - Итальянский	Italiano - Italiano
gewonnen - won, gained	赢了，赢了，赢得了	gagné - gagné, gagné	जीता - जीता, हासिल किया	vinto - vinto, guadagnato	勝った - 勝った、得た	ganhou - ganhou, ganhou	выиграл – выиграл, выиграл	ganó - ganó, ganó
aufgenommen - recorded, admitted	记录 - 记录，承认	enregistré - enregistré, admis	रिकार्ड किया हुआ - रिकार्ड किया हुआ, स्वीकार किया हुआ	registrato - registrato, ammesso	記録された - 記録された、認められた	gravado - gravado, admitido	записано – записано, допущено	grabado - grabado, admitido
gegenwart - present (time)	现在 - 现在（时间）	présent - présent (temps)	वर्तमान - वर्तमान (समय)	presente - presente (tempo)	現在 - 現在（時間）	presente - presente (tempo)	настоящее – настоящее (время)	presente - presente (tiempo)
eigenes - own (neuter)	自己 - 自己（中性）	posséder - posséder (neutre)	अपना - अपना (नपुंसक)	proprio - proprio (neutro)	自分の - 自分の（中性）	próprio - próprio (neutro)	собственный – собственный (средний род)	propio - propio (neutro)
gesamten - entire	整个 - 整个	entier - entier	संपूर्ण - संपूर्ण	intero - intero	全体 - 全体	inteiro - inteiro	весь - весь	entero - entero
geeignete - suitable	适合——适合	approprié - approprié	उपयुक्त - उपयुक्त	adatto - adatto	適切 - 適切	adequado - adequado	подходящий - подходящий	adecuado - adecuado
